frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
62,13,[68 189 918 674],[560.705810546875 484.0750427246094 740.83203125 560.6022338867188],0.7541009187698364,None,None
63,13,[80 206 900 675],[538.00439453125 486.22802734375 724.1941528320312 560.4093017578125],0.7444087862968445,None,None
64,13,[87 222 879 676],[530.6682739257812 490.76861572265625 710.270751953125 562.3131103515625],0.7346351742744446,None,None
65,13,[92 232 864 675],[517.6405639648438 492.4907531738281 693.6799926757812 559.7191162109375],0.769768238067627,None,None
66,13,[92 237 858 678],[506.4068298339844 494.0201110839844 679.9531860351562 560.379638671875],0.765113890171051,None,None
67,13,[83 241 840 678],[492.9923095703125 493.81231689453125 666.141357421875 560.994140625],0.7354102730751038,None,None
68,13,[91 243 838 675],[480.9752502441406 495.4639587402344 652.9671630859375 559.153564453125],0.7426934838294983,None,None
69,13,[91 243 827 672],[469.19000244140625 492.6717834472656 640.2609252929688 561.532470703125],0.7314284443855286,None,None
70,13,[86 244 817 672],[458.5948791503906 492.3472595214844 628.2258911132812 558.2872314453125],0.7234033942222595,None,None
71,13,[85 244 806 669],[453.74017333984375 491.8470458984375 617.5756225585938 555.3218383789062],0.7285805940628052,None,None
72,13,[90 244 801 666],[437.4488220214844 489.2737121582031 607.3275756835938 552.83837890625],0.7442348003387451,None,None
73,13,[91 244 792 663],[429.4544982910156 489.34466552734375 596.0872802734375 550.42333984375],0.7196168303489685,None,None
75,13,[83 244 773 661],[411.64947509765625 488.3973388671875 571.87451171875 545.2185668945312],0.7164700627326965,None,None
76,24,[107 241 732 652],[398.7554626464844 487.4435119628906 560.4476928710938 543.8062744140625],0.7205935716629028,None,None
77,24,[104 244 728 655],[386.9718933105469 484.83380126953125 550.0341796875 541.370361328125],0.734330952167511,None,None
79,13,[82 247 729 648],[363.1479187011719 482.23907470703125 528.1939086914062 540.1104125976562],0.7092599868774414,None,None
80,13,[85 248 719 644],[359.0275573730469 483.5844421386719 509.7563781738281 538.17529296875],0.7038295269012451,None,None
81,13,[85 249 713 645],[343.248291015625 482.7295837402344 502.4932861328125 538.5572509765625],0.7071732878684998,None,None
82,13,[85 249 706 645],[330.2996826171875 480.97088623046875 494.13824462890625 536.57275390625],0.7385261058807373,None,None
83,13,[84 250 698 645],[322.5611572265625 480.41314697265625 485.2005615234375 536.6968383789062],0.7285976409912109,None,None
84,13,[83 249 691 643],[312.3250732421875 477.9340515136719 476.8989562988281 535.6372680664062],0.74196457862854,None,None
85,13,[82 249 684 642],[307.17626953125 476.6933898925781 467.9862060546875 531.2774658203125],0.7290840148925781,None,None
86,13,[81 248 678 641],[299.5540771484375 474.5981140136719 461.4817199707031 530.5651245117188],0.7233066558837891,None,None
87,13,[80 247 673 640],[290.3481750488281 472.24725341796875 454.60467529296875 531.165283203125],0.7286968231201172,None,None
88,13,[79 246 669 639],[292.5816955566406 470.9098205566406 449.6410217285156 526.7509155273438],0.7185776829719543,None,None
